Week,DMA_Name,DMA_ID,TRx,TV_Spend,Digital_Spend,Search_Spend,Print_Spend,HCP_Events_Spend,Medical_Journal_Spend,TV_Impressions,Digital_Impressions,Digital_Clicks,Search_Clicks,Print_Impressions,HCP_Email_Sends,Rep_Calls,Sample_Units,Copay_Redemptions,Lagged_TRx,DMA_Population,Competitor_TV_Spend,Seasonality
4/7/2024,New York NY,DMA_001,214032,310515,80504,41080,35237,73923,62825,8861984,9704695,172875,19096,367528,777,2817,1428,38149,181927,7200000,253581,1.082
4/14/2024,New York NY,DMA_001,171152,238104,77044,36932,45643,106443,50202,7176858,10695280,170523,12980,562256,767,2025,1483,41856,145479,7200000,312340,0.913
4/21/2024,New York NY,DMA_001,216351,215595,116578,43043,51087,82079,74455,7392620,17217947,281072,12110,439689,495,2989,2144,54034,183898,7200000,243303,1.109
4/28/2024,New York NY,DMA_001,201618,261972,69381,37441,44705,69559,54124,8540843,6997956,127884,20623,415774,476,2403,1855,42131,171375,7200000,278877,1.04
5/5/2024,New York NY,DMA_001,224446,326957,125827,49095,39000,61068,48592,10462359,18364963,252865,20378,417728,522,2358,1409,44250,190779,7200000,487491,1.115
5/12/2024,New York NY,DMA_001,208325,318598,95801,42231,39153,97892,56456,10332174,11306937,176372,10635,410000,557,2600,1638,39213,177076,7200000,234474,1.079
5/19/2024,New York NY,DMA_001,223687,275996,114962,37517,64596,58050,47417,8797122,13641239,155004,24812,823280,626,2189,1310,54907,190133,7200000,465958,1.141
5/26/2024,New York NY,DMA_001,165972,185271,60857,33874,26043,102670,52434,5669568,8115431,116151,9707,284963,803,2545,1598,36938,141076,7200000,184054,0.921
6/2/2024,New York NY,DMA_001,181994,199275,79538,38467,49483,57737,60639,6587310,9296119,88999,12140,493822,583,2554,1735,27981,154694,7200000,209599,1
6/9/2024,New York NY,DMA_001,213776,312217,115619,36835,45979,74364,56155,7811120,12648932,213565,12588,576200,600,2486,1847,40019,181709,7200000,446992,1.121
6/16/2024,New York NY,DMA_001,168197,210452,92311,48015,39407,109491,43305,5392412,10016764,146940,15220,511840,703,3049,1715,40162,142967,7200000,218182,0.896
6/23/2024,New York NY,DMA_001,153061,176992,56033,31739,33084,126898,59790,5691961,5929180,60117,13271,302625,604,1922,1499,23780,130101,7200000,246118,0.875
6/30/2024,New York NY,DMA_001,169202,172141,91435,27019,32178,109994,72364,4641513,11147766,197326,12018,413170,542,2450,1712,28668,143821,7200000,145140,0.913
7/7/2024,New York NY,DMA_001,164934,201317,58908,29221,23711,116493,57898,6882641,6916214,68111,17201,212423,476,2225,2150,40574,140193,7200000,177280,0.898
7/14/2024,New York NY,DMA_001,162942,221025,88926,46411,46065,79827,61696,7607351,12447693,114761,15472,531672,459,2241,1584,35155,138500,7200000,411940,0.875
7/21/2024,New York NY,DMA_001,183529,239083,80322,37311,36680,84842,59961,6184707,9943692,128239,12829,391564,794,2885,1888,30037,155999,7200000,325059,0.993
7/28/2024,New York NY,DMA_001,209444,200702,124424,66060,44685,85528,57638,5165662,17915923,264866,18172,405498,730,2283,2122,51109,178027,7200000,284079,1.091
8/4/2024,New York NY,DMA_001,167774,190244,86239,27894,26707,62442,43911,6521192,9820169,106419,10146,217644,615,2905,2033,33830,142607,7200000,158616,0.916
8/11/2024,New York NY,DMA_001,232173,296342,99794,67954,37818,109301,52511,10362149,10973427,116280,39890,419918,642,2811,1441,49824,197347,7200000,407903,1.142
8/18/2024,New York NY,DMA_001,181309,245357,108857,51501,27172,115265,48774,6250162,16066288,212437,14758,304819,766,3069,1413,37537,154112,7200000,226909,0.94
8/25/2024,New York NY,DMA_001,293518,313787,156117,77990,48239,105075,71994,10429128,21498411,245827,23277,510459,529,2142,1891,46465,249490,7200000,317329,1.445
9/1/2024,New York NY,DMA_001,300942,308106,157614,69151,40990,121729,72447,8861547,16518481,290021,39967,390390,451,3085,1895,61656,255800,7200000,353436,1.427
9/8/2024,New York NY,DMA_001,269120,378221,136234,50031,68979,74878,52082,12164127,18495916,341414,15014,611439,625,2436,1475,51601,228752,7200000,464789,1.325
9/15/2024,New York NY,DMA_001,303590,352345,99813,84274,57568,96559,60898,10544320,10454724,135610,53604,585432,463,2792,1755,58099,258051,7200000,513086,1.461
9/22/2024,New York NY,DMA_001,295017,281714,134130,77947,41418,63211,57522,9193447,16264802,200234,50307,458308,553,2438,1226,49459,250764,7200000,266518,1.406
9/29/2024,New York NY,DMA_001,284494,388740,127753,47200,42383,90516,40323,11599918,16398316,219790,13398,389739,684,2100,1300,64344,241819,7200000,500248,1.454
10/6/2024,New York NY,DMA_001,278930,288737,163412,51636,55889,114400,71616,8118663,20134079,199203,15196,537591,461,2043,1548,61180,237090,7200000,238207,1.443
10/13/2024,New York NY,DMA_001,292502,334237,133284,62340,67304,119940,52169,10538491,15141206,281181,18282,695374,518,2194,1627,54112,248626,7200000,350420,1.451
10/20/2024,New York NY,DMA_001,294609,319773,137799,85360,44942,93066,67806,8224520,16424886,193657,25090,374189,621,2833,1786,46192,250417,7200000,262367,1.466
10/27/2024,New York NY,DMA_001,280876,275997,123538,46119,80811,75926,55696,7937396,13730991,154286,21013,837416,677,2836,1640,65363,238744,7200000,345768,1.438
11/3/2024,New York NY,DMA_001,297197,391714,99099,47021,74545,80134,57415,11443102,10766765,153713,22629,773298,631,2321,1923,46840,252617,7200000,436880,1.492
11/10/2024,New York NY,DMA_001,224816,263045,123305,43490,35187,91146,73345,8326031,12698208,135019,25758,444921,731,3016,2131,41142,191093,7200000,287261,1.135
11/17/2024,New York NY,DMA_001,227200,274570,132458,46397,30514,99339,56261,9555249,14412711,150925,15924,379201,458,3089,1301,53750,193120,7200000,426255,1.168
11/24/2024,New York NY,DMA_001,215945,217342,99171,66165,33710,103372,59656,5742700,13744362,150235,17589,297239,779,2531,1532,40239,183553,7200000,255683,1.145
12/1/2024,New York NY,DMA_001,233623,297390,95092,39167,35890,126133,60239,9821318,14078632,205359,12079,369467,633,2771,1190,45102,198579,7200000,284080,1.197
12/8/2024,New York NY,DMA_001,220917,206151,95475,57891,46749,81589,45713,5333905,9888060,192539,17828,524750,545,2615,2087,46534,187779,7200000,225608,1.158
12/15/2024,New York NY,DMA_001,213740,290896,77981,52415,49016,122565,49175,8860839,10792201,94229,23527,513205,631,2175,2110,48285,181679,7200000,246826,1.109
12/22/2024,New York NY,DMA_001,218642,292010,86157,39611,40305,89654,49923,7919932,9199336,120765,14978,474295,531,3090,2127,37219,185845,7200000,237664,1.146
1/1/2023,Los Angeles CA,DMA_002,238052,260546,137884,70956,33809,70422,48731,7362399,19707021,266895,29421,325817,528,1978,1294,49513,214246,6670000,456547,1.323
1/8/2023,Los Angeles CA,DMA_002,208959,241097,79861,37936,57422,117977,55449,6867276,10884998,106419,12284,499925,787,2642,1855,52198,177615,6670000,235929,1.261
1/15/2023,Los Angeles CA,DMA_002,230809,282738,85521,53287,30448,68651,58408,7889254,12598522,202085,19646,372681,521,2672,1540,37411,196187,6670000,222887,1.297
1/22/2023,Los Angeles CA,DMA_002,226744,248180,93381,39462,46890,55176,54070,7736497,13586771,243866,12196,508024,479,2728,1174,54791,192732,6670000,346149,1.308
1/29/2023,Los Angeles CA,DMA_002,219848,289650,95159,50160,61603,63185,51093,8343845,10205790,93349,15772,729805,470,1929,1635,49862,186870,6670000,428180,1.324
2/5/2023,Los Angeles CA,DMA_002,200366,239993,86260,53251,48009,89428,67441,6564073,8972158,123121,13840,505297,431,2433,1351,43440,170311,6670000,336686,1.206
2/12/2023,Los Angeles CA,DMA_002,239557,303239,95295,38764,43994,57556,56118,8373641,12110666,219553,25332,484053,650,2307,1825,52693,203623,6670000,199268,1.32
2/19/2023,Los Angeles CA,DMA_002,232807,271611,122445,55805,60726,54960,66995,7794092,17389070,215079,18964,782667,430,2489,1986,44506,197885,6670000,415950,1.324
2/26/2023,Los Angeles CA,DMA_002,200844,225202,93797,55190,49967,111478,66338,6112284,10180537,90027,22146,424157,600,2198,1574,48571,170717,6670000,272466,1.199
3/5/2023,Los Angeles CA,DMA_002,190290,209767,85432,46841,29249,122502,57599,6251503,10462080,103501,14636,322469,646,2715,1568,33211,161746,6670000,148948,1.136
3/12/2023,Los Angeles CA,DMA_002,206241,233897,92293,54721,48730,118095,46628,7363114,9398019,169533,31355,518303,437,1966,1227,51496,175304,6670000,255187,1.157
3/19/2023,Los Angeles CA,DMA_002,184401,218069,109987,38904,51356,118978,39340,6226890,11617596,100134,10429,519233,631,2960,1164,29239,156740,6670000,303877,1.136
3/26/2023,Los Angeles CA,DMA_002,160404,161062,84704,26784,32368,116836,67922,4761855,12459539,194849,16364,373911,644,2914,2102,33617,136343,6670000,179183,0.941
4/2/2023,Los Angeles CA,DMA_002,150522,153478,68550,43104,40785,111083,71936,3927012,7270920,102347,24103,521330,558,2326,1420,33911,127943,6670000,94524,0.902
4/9/2023,Los Angeles CA,DMA_002,158158,181175,73076,47361,28970,60636,69641,6317613,8304474,85407,24182,326036,453,2591,1804,25409,134434,6670000,155813,0.926
4/16/2023,Los Angeles CA,DMA_002,167159,226633,63441,37743,50287,111880,46975,6156142,6930800,96886,15327,408452,528,2541,1591,31165,142085,6670000,312030,1.014
4/23/2023,Los Angeles CA,DMA_002,167773,166524,93238,32205,45545,62096,45278,5626068,9526984,146949,11626,408805,542,2150,1455,30410,142607,6670000,167161,1.017
4/30/2023,Los Angeles CA,DMA_002,188984,277877,109046,29187,28510,113006,60659,8364529,16143928,217052,14660,286043,655,2212,1498,40344,160636,6670000,204412,1.078
5/7/2023,Los Angeles CA,DMA_002,158200,219778,62764,50841,25836,57875,42146,5539730,9057498,105079,23385,251540,736,2113,1515,37305,134470,6670000,351768,0.946
5/14/2023,Los Angeles CA,DMA_002,171264,181348,77227,30928,53974,58678,64360,4641363,7782565,145609,8433,574285,782,2185,1226,42078,145574,6670000,168057,1.075
5/21/2023,Los Angeles CA,DMA_002,178425,225329,74818,38616,38665,71438,43348,6339221,10764429,126999,19748,332994,673,2296,1737,30543,151661,6670000,308476,1.052
5/28/2023,Los Angeles CA,DMA_002,179111,246247,76592,49279,40594,67463,53468,6512837,8319590,95857,17832,468950,577,2242,2029,42497,152244,6670000,217193,1.071
6/4/2023,Los Angeles CA,DMA_002,171114,247685,75534,35662,38644,119946,49297,8263502,7696608,118601,13177,454339,530,1856,2047,40097,145446,6670000,321107,1.026
6/11/2023,Los Angeles CA,DMA_002,152338,187635,58796,42904,37485,92806,53919,5351201,6550209,111374,10796,311848,479,2969,1714,28377,129487,6670000,260365,0.94
6/18/2023,Los Angeles CA,DMA_002,197703,219199,117224,55184,44344,90517,58381,5681939,17342454,294514,14627,367887,461,2790,1282,42361,168047,6670000,178733,1.131
6/25/2023,Los Angeles CA,DMA_002,146082,198142,74073,48505,26640,62200,52177,5395801,9885833,86265,13450,330642,733,2747,1610,24799,124169,6670000,216958,0.9
7/2/2023,Los Angeles CA,DMA_002,145876,164577,63041,24955,44056,115764,71896,4182215,7822665,126669,7713,502277,790,3039,1207,22781,123994,6670000,241354,0.929
7/9/2023,Los Angeles CA,DMA_002,196291,247467,74931,59608,52503,67646,57303,7350435,10472304,172571,29783,678830,512,2556,1637,38108,166847,6670000,349297,1.099
7/16/2023,Los Angeles CA,DMA_002,175105,271875,63854,47748,34990,97179,43248,7262270,6792698,130319,12680,359336,706,2170,2024,28868,148839,6670000,312387,1.051
7/23/2023,Los Angeles CA,DMA_002,192787,246141,81486,51396,32371,59070,62861,8165967,11063462,123648,17026,346964,652,2351,1850,43520,163868,6670000,443956,1.133
7/30/2023,Los Angeles CA,DMA_002,142882,146760,83223,34700,36053,88373,59566,4720518,10673385,94184,15545,353054,607,2382,1829,31971,121449,6670000,156586,0.877
8/6/2023,Los Angeles CA,DMA_002,151747,187187,78335,31709,34696,107540,58316,4729589,9534071,189738,11820,400365,608,2407,1229,32471,128984,6670000,210860,0.918
8/13/2023,Los Angeles CA,DMA_002,166898,173757,77831,28437,53894,118052,69181,5032106,9579707,89186,8175,591632,570,2299,1590,29699,141863,6670000,241604,1.075
8/20/2023,Los Angeles CA,DMA_002,183584,263188,91463,32231,29588,73557,59014,8456159,12107987,157263,12014,325620,557,2102,2055,31746,156046,6670000,366867,1.087
8/27/2023,Los Angeles CA,DMA_002,259574,325716,115972,68530,49892,88629,43825,10559199,12449037,153785,27232,443468,596,1829,1658,43418,220637,6670000,229516,1.439
9/3/2023,Los Angeles CA,DMA_002,246729,279047,123688,50747,34155,59569,50684,9062128,12851542,240499,16884,339903,467,2985,2074,47777,209719,6670000,255951,1.371
9/10/2023,Los Angeles CA,DMA_002,233436,219549,131977,60719,52329,69690,41776,6074684,13503775,229804,21619,475959,672,1982,2057,56715,198420,6670000,238269,1.335
9/17/2023,Los Angeles CA,DMA_002,245116,228932,112117,44094,54206,111224,64981,7394055,13786081,218985,12153,546949,562,2650,1375,55430,208348,6670000,141973,1.409
9/24/2023,Los Angeles CA,DMA_002,246699,289483,140041,45613,40574,85296,55693,9845018,19589892,210286,17965,448351,464,2084,1746,60925,209694,6670000,476021,1.397
10/1/2023,Los Angeles CA,DMA_002,253532,320990,137325,53778,40006,105682,65059,10463385,15651353,285508,15408,428578,740,2068,1233,56743,215502,6670000,575191,1.426
10/8/2023,Los Angeles CA,DMA_002,239973,293093,125945,64096,44944,122495,59037,9317706,18305089,182282,21068,486433,660,2770,1252,50852,203977,6670000,201534,1.33
10/15/2023,Los Angeles CA,DMA_002,240389,288739,134435,59166,45228,85545,52742,8402856,16662426,215307,24458,492740,556,2922,1323,51932,204330,6670000,314511,1.326
10/22/2023,Los Angeles CA,DMA_002,257648,361723,106435,65316,57055,116867,69249,10072617,14975409,168063,23799,660627,581,2648,1353,47444,219000,6670000,275438,1.424
10/29/2023,Los Angeles CA,DMA_002,253322,295672,144995,54159,50796,126301,65877,9276939,14654704,256098,18034,471867,779,2068,1502,40098,215323,6670000,361553,1.421
11/5/2023,Los Angeles CA,DMA_002,259253,379350,134940,63553,56114,78221,51029,13014499,20188720,173778,16624,624382,428,2729,1859,44816,220365,6670000,548211,1.449
11/12/2023,Los Angeles CA,DMA_002,194224,180601,102996,58183,46805,108836,62019,5079329,11852990,96550,34392,459871,690,2841,1898,32304,165090,6670000,134221,1.118
11/19/2023,Los Angeles CA,DMA_002,191524,200012,69451,54762,53727,56180,56306,6493909,8414244,96344,26654,433083,751,2525,1914,46800,162795,6670000,192331,1.11
11/26/2023,Los Angeles CA,DMA_002,214745,315448,83470,48058,38094,62570,54354,9064889,9938607,150679,28163,489670,637,2420,1969,46431,182533,6670000,241811,1.192
12/3/2023,Los Angeles CA,DMA_002,207640,301675,88490,46976,27607,122460,46266,10405329,9546617,124149,17850,346223,760,2179,1384,50341,176494,6670000,259306,1.188
12/10/2023,Los Angeles CA,DMA_002,182659,204097,106825,34318,43302,111304,42366,5396127,10801792,120185,14796,499664,652,1993,1863,28712,155260,6670000,171261,1.109
12/17/2023,Los Angeles CA,DMA_002,190876,222030,74897,40867,52502,94031,49660,6110473,8695351,104302,21843,450238,702,2991,1413,39025,162244,6670000,218800,1.116
12/24/2023,Los Angeles CA,DMA_002,192715,221637,73021,45796,39967,71686,59129,7367234,7427027,64240,11589,342523,738,2544,1223,35757,163807,6670000,225052,1.192
12/31/2023,Los Angeles CA,DMA_002,234874,243933,127078,68691,29546,122579,52899,6784913,18369825,262518,23871,344518,510,2337,1403,41485,199642,6670000,189317,1.208
1/7/2024,Los Angeles CA,DMA_002,242925,256828,109033,39906,61130,101898,45700,7705066,14505229,244544,18336,793417,748,2680,1885,44558,206486,6670000,217520,1.259
1/14/2024,Los Angeles CA,DMA_002,265673,347401,131801,53925,34224,99664,40579,10018452,19079559,354363,27394,438724,428,2299,1758,65345,225822,6670000,488251,1.321
1/21/2024,Los Angeles CA,DMA_002,256576,239372,108364,58679,72711,99216,47723,6604706,12620895,162749,31859,620849,529,2883,1349,59679,218089,6670000,197884,1.322
1/28/2024,Los Angeles CA,DMA_002,230083,233459,82330,66802,50865,104056,63720,5951497,10495258,137002,19226,554730,443,2681,1665,49763,195570,6670000,153311,1.239
2/4/2024,Los Angeles CA,DMA_002,228112,238476,127054,50140,40527,60439,39790,6267262,16701530,161916,14336,331452,684,2434,2066,48228,193895,6670000,247089,1.249
2/11/2024,Los Angeles CA,DMA_002,237070,320495,101571,39828,66176,104808,41506,10573067,12849903,183420,10762,825321,450,2221,1202,57026,201509,6670000,190137,1.262
2/18/2024,Los Angeles CA,DMA_002,246390,294469,103232,62012,70496,102551,70508,7468577,10520095,104186,26554,897772,614,2305,1796,60204,209431,6670000,351099,1.321
2/25/2024,Los Angeles CA,DMA_002,225197,306599,108775,60903,30924,93013,67468,8980603,12479557,166756,19981,377138,691,2233,1696,38082,191417,6670000,301892,1.183
